,appId,content,sentiment,content_cleaned
148717,com.appmind.radios.fi,Ainut että lopettaa soittamisen ensimmäisen käynnistyksen jälkeen melko pian mutta käynnistää vaan uudelleen niin saa kuunnella vaikka kokopäivän ilman ongelmia.,positive,ainut että lopettaa soittamisen ensimmäisen käynnistyksen jälkeen melko pian mutta käynnistää vaan uudelleen niin saa kuunnella vaikka kokopäivän ilman ongelmia 
104628,yqtrack.app,Hyvin toimiva ohjelma!,positive,hyvin toimiva ohjelma 
17866,com.nordea.mobiletoken,Aivan hyvä kun vihdoin opin sen,positive,aivan hyvä kun vihdoin opin sen
83924,com.codigames.market.idle.tycoon,paras peli ikinä!!!👌🏻,positive,paras peli ikinä 
70804,com.myklarnamobile,Kaikki toimii joka osa alueeöla. Kiitos. 👍,positive,kaikki toimii joka osa alueeöla kiitos 
12425,com.yle.webtv,On hyvä:),positive,on hyvä 
79092,com.radiofmapp.radiosuomi,Loistava,positive,loistava
147832,com.swampsend.maastokartat,Loistava sovellus...,positive,loistava sovellus 
7356,com.yle.webtv,Erittäin hyvä !....❤️,positive,erittäin hyvä 
46551,com.thirdpresence.ruutu,Parhain kokemus ruutuplussalla 👌🏼🔥😎,positive,parhain kokemus ruutuplussalla 
119114,com.spotify.music,Mahtavaa musaaaaaa,positive,mahtavaa musaaaaaa
1253,fi.ekapeli.EkapeliAlku,🙂🙂,positive, 
68533,com.yle.lastenareena,👍🏻❤,positive, 
149079,com.appmind.radios.fi,paras,positive,paras
25886,com.nordea.mobiletoken,Loistava!!!,positive,loistava 
23229,com.nordea.mobiletoken,Kätevä ohjelma. Voi jättää tunnuslukupaperit historiaan.,positive,kätevä ohjelma voi jättää tunnuslukupaperit historiaan 
9661,com.yle.webtv,Löytyy hyvii sarjoja 👍🎥🎭,positive,löytyy hyvii sarjoja 
139541,com.spotify.music,Hyvä mutta maksullinen! :-\,positive,hyvä mutta maksullinen 
140038,com.spotify.music,Joka centin arvoinen,positive,joka centin arvoinen
71567,com.was.drivethru.supermarket,Erittäin hyvä peli,positive,erittäin hyvä peli
120176,com.spotify.music,DAMN,positive,damn
7664,com.yle.webtv,Hyviä ohjelmia sekä aikuisille että lapsille 😁,positive,hyviä ohjelmia sekä aikuisille että lapsille 
92576,com.harjuconsulting.texttv,Näppärä ja kätevä.Toimiva ja selkeä teksti-tv sovellus.,positive,näppärä ja kätevä toimiva ja selkeä teksti tv sovellus 
108464,air.fi.yle.pikkukakkonen,Hyvää😀,positive,hyvää 
29501,fi.nordea.mobilebank,"helppo, nopea. pankki aina mukana.",positive,helppo nopea pankki aina mukana 
132474,com.spotify.music,Loistava. Helppo ja Alkaa olla omat suosikit valikoimissa.,positive,loistava helppo ja alkaa olla omat suosikit valikoimissa 
89498,fi.digia.suomi112,"Tämä on juuri sitä teknologiaa, jota kaivataan enenevässä määrin elämän ja teknologian sovellukselle.",positive,tämä on juuri sitä teknologiaa jota kaivataan enenevässä määrin elämän ja teknologian sovellukselle 
25119,com.nordea.mobiletoken,Toimii hyvin 👍,positive,toimii hyvin 
36877,fi.nordea.mobilebank,"Toimii hyvin, kaikki tarvittavat ominaisuudet helposti saatavilla.",positive,toimii hyvin kaikki tarvittavat ominaisuudet helposti saatavilla 
146900,com.swampsend.maastokartat,Toimii komiasti,positive,toimii komiasti
140371,com.spotify.music,Ei voi muuta sanoo kuin ...... 👌,positive,ei voi muuta sanoo kuin 
106832,air.fi.yle.pikkukakkonen,Ihan hyvä,positive,ihan hyvä
32771,fi.nordea.mobilebank,Toimiva kokonaisuus,positive,toimiva kokonaisuus
125096,com.spotify.music,Mahtava ihan sairaan kätevä,positive,mahtava ihan sairaan kätevä
91879,fi.hsl.app,jee,positive,jee
4734,com.yle.webtv,Oikein hyvä on paljon ktseltavaa,positive,oikein hyvä on paljon ktseltavaa
144970,com.swampsend.maastokartat,Hyvä Kun Näkee Syvyyskartat,positive,hyvä kun näkee syvyyskartat
75856,fi.spankki,Hyvin toimii ja näppärä,positive,hyvin toimii ja näppärä
128000,com.spotify.music,P.A.R.A.S,positive,p r s
108910,com.tripadvisor.tripadvisor,Parhaat ideat matkalle löytyvät aina täältä. Mielipiteet eivät ole maksettuja.,positive,parhaat ideat matkalle löytyvät aina täältä mielipiteet eivät ole maksettuja 
106835,air.fi.yle.pikkukakkonen,paras peli,positive,paras peli
16578,com.waze,"Tervetuloa vaan lisäämään puuttuvat tiet. Ja jep, ihan itse.",positive,tervetuloa vaan lisäämään puuttuvat tiet ja jep ihan itse 
76391,fi.spankki,"Nyt kun kuititkin tuli tähän mukaan, niin tulee täydet pisteet. Jos tarvii jonkun lapun vaikka firman kirjanpitoon tai matkalaskun liitteeksi, niin se on helppo lähettää.",positive,nyt kun kuititkin tuli tähän mukaan niin tulee täydet pisteet jos tarvii jonkun lapun vaikka firman kirjanpitoon tai matkalaskun liitteeksi niin se on helppo lähettää 
132526,com.spotify.music,Matkusti on eläin,positive,matkusti on eläin
106816,air.fi.yle.pikkukakkonen,hyvä peli,positive,hyvä peli
134293,com.spotify.music,Rokkaa!,positive,rokkaa 
63154,com.fluffyfairygames.idleminertycoon,Sopii kaiken ikäisille ja on äärimmäisen hyvä peli suosittelen kokeilemaan jos et ole vielä kokeillut,positive,sopii kaiken ikäisille ja on äärimmäisen hyvä peli suosittelen kokeilemaan jos et ole vielä kokeillut
90384,net.easypark.android,Toimii 90% ajasta juuri niinkuin pitääkin.,positive,toimii 90 ajasta juuri niinkuin pitääkin 
84109,com.codigames.market.idle.tycoon,Kakka,positive,kakka
63124,com.fluffyfairygames.idleminertycoon,Mahtava peli!❤😂,positive,mahtava peli 
89388,fi.digia.suomi112,Todella hyvä että tälläinen appi on tehty.,positive,todella hyvä että tälläinen appi on tehty 
71509,com.myklarnamobile,Kaikki toimii niin kuin kuuluukin.,positive,kaikki toimii niin kuin kuuluukin 
105169,com.nordnet,Toimii 6/5👌🏻,positive,toimii 6 5 
89957,fi.digia.suomi112,Ihan mahtava❤❤,positive,ihan mahtava 
107039,air.fi.yle.pikkukakkonen,Pelaan tätä tablella ja ihan sika hyvä. Kyllä se vanhakin oli hyvä. Mut kantsii ladata,positive,pelaan tätä tablella ja ihan sika hyvä kyllä se vanhakin oli hyvä mut kantsii ladata
65626,com.fluffyfairygames.idleminertycoon,Tuli niin paljo mainoksii et oli pakko kokeilla,positive,tuli niin paljo mainoksii et oli pakko kokeilla
140222,com.spotify.music,Paras ikinä .,positive,paras ikinä 
106459,air.fi.yle.pikkukakkonen,tosi hyvä toivon että tulee semoinen peli että siinä on semoinen pikukakos hirviö ja pitää pelastaa pikku kakkonen😊😊😊😊😊😊😊❤❤❤❤❤,positive,tosi hyvä toivon että tulee semoinen peli että siinä on semoinen pikukakos hirviö ja pitää pelastaa pikku kakkonen 
132577,com.spotify.music,Rakastan💗💗💗,positive,rakastan 
68241,com.fluffyfairygames.idleminertycoon,GOD,positive,god
7676,com.yle.webtv,"Paras. Ei mainoksia. Loputtomasti tv-, radio- ja podcaste-ohjelmia. Ja aina on toiminut, jo monta vuotta. Tännekin saa rekisteröityä.",positive,paras ei mainoksia loputtomasti tv radio ja podcaste ohjelmia ja aina on toiminut jo monta vuotta tännekin saa rekisteröityä 
49868,com.thirdpresence.ruutu,Hyvähän tää on. Jos teille ei kelpaa nii ladatkaa vaikka yle areena. Ittelläni on tabletti ja jaan puhelimen 3G nettii tablettiini eikä pätki yhtään. Se on mun mielipide. Joskus mul oli tabus nuottiniitty ja voin sanoo et se oli surkee. Tää on ihan paras verrattuna siihen. Ladatkaa nuottiniitty ja verratkaa sitä tähän ja sano sitte onko tää ok.jos haluutte viel senkin jälkeen mankua niin tukkikaa jo turpanne.  Tuskin teil turpia on koska ne on hevosella ellette oo hevosia ja jos ootte nii miks mä puhun teille mut   ei se tukkikaa turpanne ku sanoin nii en tarkottanu pahaa joten sori mut en voi mitään. Mut se on mun mielipide.,positive,hyvähän tää on jos teille ei kelpaa nii ladatkaa vaikka yle areena ittelläni on tabletti ja jaan puhelimen 3g nettii tablettiini eikä pätki yhtään se on mun mielipide joskus mul oli tabus nuottiniitty ja voin sanoo et se oli surkee tää on ihan paras verrattuna siihen ladatkaa nuottiniitty ja verratkaa sitä tähän ja sano sitte onko tää ok jos haluutte viel senkin jälkeen mankua niin tukkikaa jo turpanne tuskin teil turpia on koska ne on hevosella ellette oo hevosia ja jos ootte nii miks mä puhun teille mut ei se tukkikaa turpanne ku sanoin nii en tarkottanu pahaa joten sori mut en voi mitään mut se on mun mielipide 
127152,com.spotify.music,Mahtava sovellus jos kuuntelee paljon musikkia,positive,mahtava sovellus jos kuuntelee paljon musikkia
131095,com.spotify.music,Oooooooooo,positive,oooooooooo
108878,com.tripadvisor.tripadvisor,hyödyllinen ja näyttäs toimivan,positive,hyödyllinen ja näyttäs toimivan
89968,fi.digia.suomi112,Kannattaa asentaa,positive,kannattaa asentaa
114073,com.spotify.music,Oikeinhyvä Haluaisin Jukka Roposen Joutsenten muuton mukaaan Se kuvaa omaa elämääni . Kaino pyyntö. Haluaisin kuulla sen,positive,oikeinhyvä haluaisin jukka roposen joutsenten muuton mukaaan se kuvaa omaa elämääni kaino pyyntö haluaisin kuulla sen
84903,com.fsecure.ms.dc,"toimii  vaivattomasti asenna ja unohda , eikä vie  resursseja minulla note 10.3 . s4active  ja s3 kyllä toimii!",positive,toimii vaivattomasti asenna ja unohda eikä vie resursseja minulla note 10 3 s4active ja s3 kyllä toimii 
81968,fi.iltasanomat,Ajankohtainen,positive,ajankohtainen
22813,com.nordea.mobiletoken,Toimiva ja varma,positive,toimiva ja varma
42735,fi.nordea.mobilebank,Toimii hyvin ja on tosi helppokäyttöinen,positive,toimii hyvin ja on tosi helppokäyttöinen
118695,com.spotify.music,Premiumin hintaa pitäs laskea,positive,premiumin hintaa pitäs laskea
95969,fi.mtvkatsomo,Note 4,positive,note 4
130288,com.spotify.music,Jees meininki,positive,jees meininki
42114,fi.nordea.mobilebank,"Kätsy peli, laskujen maksu helpottui huomattavasti kun tämän otti käyttöön.",positive,kätsy peli laskujen maksu helpottui huomattavasti kun tämän otti käyttöön 
79473,fi.iltasanomat,Ihan ok jos miettii kuitenkin että uutiset on puolueettomasti uutisoitu niin kuitenkin kokoomus lasit yleensä päässä ja oikeiston kallellaan tämä mutta yleisesti ottaen liki yhtiötä ja oikea-aikaista uutisointia,positive,ihan ok jos miettii kuitenkin että uutiset on puolueettomasti uutisoitu niin kuitenkin kokoomus lasit yleensä päässä ja oikeiston kallellaan tämä mutta yleisesti ottaen liki yhtiötä ja oikea aikaista uutisointia
143092,com.swampsend.maastokartat,Käytän usein. Erittäin hyödyllinen!,positive,käytän usein erittäin hyödyllinen 
122439,com.spotify.music,Hyvä sovellus etenkin kun löytyy erilaisia soittolistoja. Ja paljon omaa lempimusaa.,positive,hyvä sovellus etenkin kun löytyy erilaisia soittolistoja ja paljon omaa lempimusaa 
27018,com.nordea.mep.npay,Helppo ja hyödyllinen!,positive,helppo ja hyödyllinen 
64254,com.fluffyfairygames.idleminertycoon,Hävä Jjh😑,positive,hävä jjh 
600,fi.ekapeli.EkapeliAlku,Kivaa e kamelin kiva asenna heti,positive,kivaa kamelin kiva asenna heti
65353,com.fluffyfairygames.idleminertycoon,"Ois kivaa jos tapahtumakaivokset sais pitää ja ne nimettäis esim: 
Jalkapallotapahtuma 1",positive,ois kivaa jos tapahtumakaivokset sais pitää ja ne nimettäis esim jalkapallotapahtuma 1
91788,fi.hsl.app,"Tässä sovelluksessa on paljon virheitä esimerkiksi sun pitää olla 15v että 
pääset jatkamaan mutta sovelluksen sisällä lapsen kertalippu ikä on 7-16v. 
Tai sitten että et pysty ostamaan kausilippua jos et ole yli 16v",positive,tässä sovelluksessa on paljon virheitä esimerkiksi sun pitää olla 15v että pääset jatkamaan mutta sovelluksen sisällä lapsen kertalippu ikä on 7 16v tai sitten että et pysty ostamaan kausilippua jos et ole yli 16v
114166,com.spotify.music,Tää sovellus on kiva koska voi kuunnella poppiii!!!!!!,positive,tää sovellus on kiva koska voi kuunnella poppiii 
128119,com.spotify.music,Ihana tää premiumikin,positive,ihana tää premiumikin
142696,com.spotify.music,Iii,positive,iii
93264,fi.mtvkatsomo,Tää on maailman paras,positive,tää on maailman paras
62993,com.fluffyfairygames.idleminertycoon,Paras peli siis ikiiiiiiinäääää🥰🥰🥰🥰,positive,paras peli siis ikiiiiiiinäääää 
113064,fi.radiosoitinsuomi.radiotfi,"Paras koska voi kuunnella esim : nrj,loop ja nova",positive,paras koska voi kuunnella esim nrj loop ja nova
53493,com.google.android.apps.walletnfcrel,Tekee minkä lupaa!,positive,tekee minkä lupaa 
6400,com.yle.webtv,Tosi kiva ja kunnon vanhoja sarjoja.,positive,tosi kiva ja kunnon vanhoja sarjoja 
79217,fi.iltasanomat,Ainut kanava joka toimii kunnolla ja on ajantasalla asioiden suhteen.😊,positive,ainut kanava joka toimii kunnolla ja on ajantasalla asioiden suhteen 
115124,com.spotify.music,Spotify on paras❤️❤️❤️,positive,spotify on paras 
113296,com.spotify.music,"Loistava repertuaari erilaista musiikkia minun makuuni, klassisesta rock:in kautta jazziin. Ja ah niin helppo löytää!!",positive,loistava repertuaari erilaista musiikkia minun makuuni klassisesta rock in kautta jazziin ja ah niin helppo löytää 
81979,fi.iltasanomat,Voi pojat,positive,voi pojat
54228,fi.itella.posti.android,Erittäin hyvä sovellus. Suosittelen +++,positive,erittäin hyvä sovellus suosittelen 
37077,fi.nordea.mobilebank,Todella helppo ja nopea tykkään,positive,todella helppo ja nopea tykkään
81775,fi.iltasanomat,Selkeä ja hyvin toimiva sovellus! Älkää valittako,positive,selkeä ja hyvin toimiva sovellus älkää valittako
47155,com.thirdpresence.ruutu,Ruutu +on paras leffoille mielestäni,positive,ruutu on paras leffoille mielestäni
116164,com.spotify.music,voi kuunnella musaa millo haluaa(not),positive,voi kuunnella musaa millo haluaa not 
40805,fi.nordea.mobilebank,"Toimii juuri kuten pitääkin. Kirjautuminen sormenjäljellä on helppoa ja 
nopeaa.",positive,toimii juuri kuten pitääkin kirjautuminen sormenjäljellä on helppoa ja nopeaa 
136334,com.spotify.music,Spotify on koodattu viimestä glitchiä vaille ja on takuulla maailman helpoin musiikki hakemisto käyttää. premiumin hintakin törkeän halpa :),positive,spotify on koodattu viimestä glitchiä vaille ja on takuulla maailman helpoin musiikki hakemisto käyttää premiumin hintakin törkeän halpa 
135926,com.spotify.music,Hienoooo ;)),positive,hienoooo 
69182,com.yle.lastenareena,lapsiturvallinen,positive,lapsiturvallinen
110165,com.elisa.viihde,Helppo käyttää ja tallennus aina mukana,positive,helppo käyttää ja tallennus aina mukana
115184,com.spotify.music,koska on hyviä musiikkeja,positive,koska on hyviä musiikkeja
99011,fi.mtvkatsomo,Ainakaan minulla ei pätki eikä heitä ulos☺,positive,ainakaan minulla ei pätki eikä heitä ulos 
36705,fi.nordea.mobilebank,Hyvä nopea,positive,hyvä nopea
83929,com.codigames.market.idle.tycoon,Paras mahdollinen sovellus,positive,paras mahdollinen sovellus
28777,fi.nordea.mobilebank,"Helppo juttu, nopeakin, ainakin jos vastaanottajalla on sama pankki.",positive,helppo juttu nopeakin ainakin jos vastaanottajalla on sama pankki 
109516,br.com.tapps.mypizzashop,Hyvä peli,positive,hyvä peli
28566,fi.nordea.mobilebank,"Tosi helppo käyttää, vaikka pitkään harasin muutosta vastaan.",positive,tosi helppo käyttää vaikka pitkään harasin muutosta vastaan 
13391,com.yle.webtv,Jes aivAn mahtava sovellus ladatkaaa kIkki,positive,jes aivan mahtava sovellus ladatkaaa kikki
33299,fi.nordea.mobilebank,Olen tyytyväinen koska ainakin minulla toiminut tähän asti moitteettomasti!!,positive,olen tyytyväinen koska ainakin minulla toiminut tähän asti moitteettomasti 
57312,com.dtamobile.vrxracer,The best game ever,positive,the best game ever
119639,com.spotify.music,Loistava 👌,positive,loistava 
114373,com.spotify.music,Hanki premium nii sit o 5/5 muuten 3/5,positive,hanki premium nii sit 5 5 muuten 3 5
143950,com.swampsend.maastokartat,Pätevä,positive,pätevä
26896,com.nordea.mep.npay,hyvä sovellus jos haluaa seurata rahan menoa reaaliajassa,positive,hyvä sovellus jos haluaa seurata rahan menoa reaaliajassa
13005,com.yle.webtv,Ei ole viela kokemusta mutta tykkaan kovasti seksa japornoa esittavista ohjelmista.,positive,ei ole viela kokemusta mutta tykkaan kovasti seksa japornoa esittavista ohjelmista 
79366,fi.iltasanomat,"Hyvä, ilmainen tietolähde",positive,hyvä ilmainen tietolähde
136865,com.spotify.music,Tää on ihan paras voi kuunnella musiikkia! Ja olla Whatsapissa,positive,tää on ihan paras voi kuunnella musiikkia ja olla whatsapissa
42518,fi.nordea.mobilebank,Erittäin helppo ja nopea vaihtoehto!,positive,erittäin helppo ja nopea vaihtoehto 
9725,com.yle.webtv,Lagaa välillä,positive,lagaa välillä
30032,fi.nordea.mobilebank,Hyvä ja helppo käyttää.,positive,hyvä ja helppo käyttää 
139171,com.spotify.music,Sportyfy is my bæ,positive,sportyfy is my bæ
118835,com.spotify.music,Rokkarin unelma,positive,rokkarin unelma
143083,com.swampsend.maastokartat,Helppokäyttöistä ja ajantasaista. Näppärä ja toimiva maastokartta taskussa.,positive,helppokäyttöistä ja ajantasaista näppärä ja toimiva maastokartta taskussa 
27391,com.nordea.mep.npay,Kaikki toimii. Helppo. Parani vielä. Ihan huippu!,positive,kaikki toimii helppo parani vielä ihan huippu 
3176,com.droidhang.ad,todella hyvä peli,positive,todella hyvä peli
117554,com.spotify.music,kova,positive,kova
115264,com.spotify.music,Kannataa lataa suosittelen😂,positive,kannataa lataa suosittelen 
113028,fi.radiosoitinsuomi.radiotfi,Hyvin peittää ja kiva sovellus.,positive,hyvin peittää ja kiva sovellus 
55331,fi.itella.posti.android,Erittäin hyödyllinen ja helppo käyttää.,positive,erittäin hyödyllinen ja helppo käyttää 
147980,com.liigavahti.telia,Ihan saakelin hyvä,positive,ihan saakelin hyvä
68676,com.yle.lastenareena,Tosi hyvä peli,positive,tosi hyvä peli
5743,com.yle.webtv,"Melkoinen aarreaitta tämä areenan tarjonta! Sovellus toimii hyvin, mutta jos yhden toiveen voisi esittää, niin olisi hyvä että näytön saisi lukittua. Virhekosketuksia ei voi estää ja palautus aiempaan katselukohtaan vaatii aikaa ja hermoja;)",positive,melkoinen aarreaitta tämä areenan tarjonta sovellus toimii hyvin mutta jos yhden toiveen voisi esittää niin olisi hyvä että näytön saisi lukittua virhekosketuksia ei voi estää ja palautus aiempaan katselukohtaan vaatii aikaa ja hermoja 
85633,fi.elisa.android.ekirja,En nyt keksi mitään minkä vuoksi ei olisi viisi tähteä.,positive,en nyt keksi mitään minkä vuoksi ei olisi viisi tähteä 
66411,com.fluffyfairygames.idleminertycoon,Todella hyvä oeli,positive,todella hyvä oeli
62551,com.fluffyfairygames.idleminertycoon,Tosi mahtava peli!,positive,tosi mahtava peli 
131579,com.spotify.music,Hy,positive,hy
66330,com.fluffyfairygames.idleminertycoon,Mul on vast neljä kaivost ja tuntuu kuivalta peliltä👍,positive,mul on vast neljä kaivost ja tuntuu kuivalta peliltä 
34626,fi.nordea.mobilebank,Helppo maksaa laskuja ja hoitaa pankki asioita.,positive,helppo maksaa laskuja ja hoitaa pankki asioita 
37124,fi.nordea.mobilebank,Helpottaa elämää. Toimii,positive,helpottaa elämää toimii
44994,com.tapblaze.pizzabusiness,Aik nais,positive,aik nais
148747,com.appmind.radios.fi,Helppokäyttöinen. Sujuu ilman osaamista.,positive,helppokäyttöinen sujuu ilman osaamista 
57254,com.tksolution.einkaufszettelmitspracheingabe,Hyvä ja selkeä sovellus,positive,hyvä ja selkeä sovellus
62957,com.fluffyfairygames.idleminertycoon,5/5,positive,5 5
143994,com.swampsend.maastokartat,Hyvät kartat harraste käyttäjälle.,positive,hyvät kartat harraste käyttäjälle 
11,com.gamemaker5.idlemafia,Ihan paras peli,positive,ihan paras peli
115099,com.spotify.music,podcastit on paras osuus❤,positive,podcastit on paras osuus 
57165,com.futureplay.city,Paljon kiitoksia kaikille onnitteluista ja sit ku oot mun pitää nyt mennä,positive,paljon kiitoksia kaikille onnitteluista ja sit ku oot mun pitää nyt mennä
33480,fi.nordea.mobilebank,Helppo ja kaikki tarvittavat saa nopeasti,positive,helppo ja kaikki tarvittavat saa nopeasti
123852,com.spotify.music,Sovellus tekee kaiken mitä sen kuuluukin ilman ongelmia!,positive,sovellus tekee kaiken mitä sen kuuluukin ilman ongelmia 
143139,com.swampsend.maastokartat,Oikein hyvä ja helppo käyttöinen kartta.,positive,oikein hyvä ja helppo käyttöinen kartta 
10235,com.yle.webtv,En kommentoi,positive,en kommentoi
71389,com.myklarnamobile,Todella luotettava.,positive,todella luotettava 
109106,com.tripadvisor.tripadvisor,Pakollinen matkalle,positive,pakollinen matkalle
47976,com.thirdpresence.ruutu,Hyvä!,positive,hyvä 
133191,com.spotify.music,Helppo käyttönen ja erittäin laaja musiikki valikoima ei mitään moitittavaa.,positive,helppo käyttönen ja erittäin laaja musiikki valikoima ei mitään moitittavaa 
3063,com.droidhang.ad,best easy heroies,positive,best easy heroies
915,fi.ekapeli.EkapeliAlku,Hyvä jos on eskari,positive,hyvä jos on eskari
24170,com.nordea.mobiletoken,Parasta aikoihin niin kätevää ja vaivatonta,positive,parasta aikoihin niin kätevää ja vaivatonta
69043,com.yle.lastenareena,Pystyy kattoon tenavia,positive,pystyy kattoon tenavia
18057,com.nordea.mobiletoken,Helppo tarpeeseen ja nopea,positive,helppo tarpeeseen ja nopea
